"id";"schluessel";"von";"bis";"von_str";"bis_str";"wdm";"wdm_klar";"strasse";"status";"historie";"straba";"laenge";"aend";"geom"
17939;"10007010";"15135";"15250";"Lennéplatz";"Richard-Wagner-Str.";"H";"sonstige Hauptverkehrsstraße";"Tiergartenstraße";0;"AKT";"S";430;2024-02-06;"SRID=4326;LINESTRING(13.74863349415309343726 51.03748593240671738158,13.74879196576290674159 51.03746412912038010745,13.74906568179255295092 51.03744870600825578322,13.74927641564055136314 51.0374433717445370462,13.74940854673339707404 51.03743978945761483601,13.74950662919803789919 51.03743511333798466012,13.74976833709716572685 51.03742263474613594099,13.7499030128683621399 51.037415971183854424,13.75016495735632737762 51.03740301401508361323,13.75049465197738207678 51.037382393055416685,13.75078512584318879419 51.03734503159589763754,13.75102042847192862496 51.03730051582974169833,13.75133908934732218654 51.03723399446587905004,13.7516025361128466642 51.03715855675935841873,13.7519251300950369199 51.03704379121098355654,13.75229362710635250266 51.03689122050252535701,13.75254986323951911231 51.03678906404696391519,13.75293410576568930992 51.03663998948050561921,13.75371400432769597444 51.03632650852269847519,13.7542144467332665414 51.03611260727450371633)"
7989;"10007070";"15253";"15254";"Herderstr.";"Oskarstr.";"H";"sonstige Hauptverkehrsstraße";"Tiergartenstraße";0;"AKT";"S";138.41;2024-02-06;"SRID=4326;LINESTRING(13.76091606601087846684 51.03344648181256104635,13.76170439423424873837 51.03313537977754776875,13.76258416939569784176 51.03278122520005410934)"
7987;"10007040";"15251";"15252";"Beethovenstr.";"Franz-Liszt-Str.";"H";"sonstige Hauptverkehrsstraße";"Tiergartenstraße";0;"AKT";"S";206.34;2024-02-06;"SRID=4326;LINESTRING(13.75663033938097967734 51.03514704000174617704,13.75788013340759974312 51.03465480566688228237,13.75912736796151136787 51.03416560640673083071)"
7988;"10007060";"15252";"15253";"Querallee/Franz-Liszt-Str.";"Herderstr.";"H";"sonstige Hauptverkehrsstraße";"Tiergartenstraße";0;"AKT";"S";148.76;2024-02-06;"SRID=4326;LINESTRING(13.75912736796151136787 51.03416560640673083071,13.76001244490822017497 51.03380837001135716946,13.76091606601087846684 51.03344648181256104635)"
20627;"10008030";"18943";"19752";"Wiener Platz";"Andreas-Schubert-Straße";"H";"sonstige Hauptverkehrsstraße";"Wiener Straße";0;"AKT";"B";270.8;2024-02-06;"SRID=4326;LINESTRING(13.73483194130728612947 51.04035077774842932286,13.73546682007566843708 51.04016112794330695124,13.73566838710707749271 51.04013071063945261585,13.73574138798086785584 51.04012003990905554929,13.73574263678882267925 51.0401198573747265641,13.73587433154155768023 51.04010060833086015464,13.73596153605048009183 51.0400878617758735345,13.73625211364310416684 51.04002772700668799644,13.73651269827464460604 51.03995192714814521651,13.73694517608694098953 51.03981854084184277554,13.73734421823734486168 51.0396911208638783819,13.73752464868845812873 51.03963350588821157316,13.73754947248255753323 51.03962557974975311481,13.73805559032038203782 51.03946396482765379687,13.7381417319832426216 51.03943645682731045099,13.73820483914004242365 51.03940982235480561258,13.73833779327971882367 51.03935370608394350711)"
19290;"10008040";"19752";"19663";"Andreas-Schubert-Straße";"Sidonienstraße";"H";"sonstige Hauptverkehrsstraße";"Wiener Straße";20;"AKT";"B";63.82;2024-02-06;"SRID=4326;LINESTRING(13.73833779327971882367 51.03935370608394350711,13.73848363735030275734 51.03928750929247826207,13.73867090402253765546 51.03920007127826607984,13.73873383184250762667 51.03917355688889756493,13.73873385637701183271 51.03917354636224246178,13.73884255419029720713 51.03912969480975192482,13.7389663164567359388 51.03908703091408938235,13.73907560015881657023 51.03905294995204400266,13.7390842603535237032 51.03905024840805992881,13.73910201881949078029 51.03904441838621863781)"
8011;"10008050";"10343";"10838";"Uhlandstr.";"ÖFW 49-Altstadt II";"H";"sonstige Hauptverkehrsstraße";"Wiener Straße";20;"AKT";"G";164.25;2024-02-06;"SRID=4326;LINESTRING(13.74041780470449047868 51.03860941363655001624,13.74143953112098870406 51.03823774871552387822,13.74247264064451634624 51.03790121841915805589)"
19291;"10008045";"19663";"10343";"Sidonienstraße";"Uhlandstraße";"H";"sonstige Hauptverkehrsstraße";"Wiener Straße";20;"AKT";"B";104.19;2024-02-06;"SRID=4326;LINESTRING(13.73910201881949078029 51.03904441838621863781,13.73977511200521206547 51.03882342887101941642,13.74011568032983809928 51.03871531417814111364,13.74018571966379198557 51.03869086311286196178,13.7403229886583968522 51.03864357267137563667,13.74041780470449047868 51.03860941363655001624)"
8014;"10008060";"10838";"10069";"ÖFW 49-Altstadt II";"Gellertstr./Franklinstr.";"H";"sonstige Hauptverkehrsstraße";"Wiener Straße";20;"AKT";"G";171.43;2024-02-06;"SRID=4326;LINESTRING(13.74247264064451634624 51.03790121841915805589,13.7426969731145298681 51.03782470263594461812,13.74354433567127564686 51.03754245340881823267,13.7442206276422904665 51.03733660601987054406,13.74451348788930538092 51.03724817917485268026,13.74453178635831385179 51.03724237211863368202,13.74465260181605152923 51.037204023123607044)"
8068;"10022010";"15287";"15286";"Kreisverkehrsanlage";"Gustav-Adolf-Platz";"U";"übrige Straße";"Gustav-Adolf-Platz";0;"AKT";"O";42.65;2024-02-06;"SRID=4326;LINESTRING(13.76026916826790724713 51.02993870744932536354,13.76041460612272437913 51.0301132655635214519,13.76055599087439951234 51.03027685413256619995)"
8070;"10024010";"15284";"15290";"Lockwitzer Str.";"Wasastr.";"U";"übrige Straße";"Wasaplatz";0;"AKT";"S";50.5;2024-02-06;"SRID=4326;LINESTRING(13.75936273147982902287 51.02800441869044334453,13.75926115461330745404 51.02821386470991171791,13.7591386934882677906 51.02843586416332044564)"
8098;"10028110";"15466";"15467";"Wieckestr.";"Rudolf-Bergander-Ring";"H";"sonstige Hauptverkehrsstraße";"Reicker Straße";0;"AKT";"S";40.87;2024-02-06;"SRID=4326;LINESTRING(13.78392221614284451903 51.01760362053430952756,13.7841432388781761631 51.01747984132280322456,13.78435745529075262539 51.01735928587437030046)"
8105;"10028180";"15472";"15473";"Tornaer Str.";"Altreick";"H";"sonstige Hauptverkehrsstraße";"Reicker Straße";0;"AKT";"S";144.31;2024-02-06;"SRID=4326;LINESTRING(13.79135600874781708569 51.01335178756118438059,13.79191124727860362498 51.01322709362339224981,13.79241763437538814685 51.01313909124877454815,13.79299271735271581463 51.01306590175370558882,13.79334792671697584865 51.01305417413629328394)"
8104;"10028170";"15471";"15472";"Hülßestr.";"Tornaer Str.";"H";"sonstige Hauptverkehrsstraße";"Reicker Straße";0;"AKT";"S";146.95;2024-02-06;"SRID=4326;LINESTRING(13.78949778280238902539 51.01396015379378923171,13.78999663120741558942 51.0137835766011065175,13.79040137100460405861 51.01365261969236541972,13.79076107239357540379 51.01353388601911831302,13.79107489573331868371 51.0134286595867934011,13.79135600874781708569 51.01335178756118438059)"
8103;"10028160";"15336";"15471";"ÖW 38 - Reick";"Hülßestr.";"H";"sonstige Hauptverkehrsstraße";"Reicker Straße";0;"AKT";"S";82.72;2024-02-06;"SRID=4326;LINESTRING(13.7885948824426964876 51.01443538127657006953,13.78882950616337765837 51.01428134995877172742,13.78913442032623137834 51.01412554755129491468,13.78949778280238902539 51.01396015379378923171)"
8102;"10028150";"15470";"15336";"Lohrmannstr.";"ÖW 38-Reick";"H";"sonstige Hauptverkehrsstraße";"Reicker Straße";0;"AKT";"S";189.4;2024-02-06;"SRID=4326;LINESTRING(13.78694534052983300398 51.01578156584672996132,13.78754994612907935903 51.01523801247677170068,13.78804515097605154494 51.01483523447095080883,13.7885948824426964876 51.01443538127657006953)"
8101;"10028140";"15469";"15470";"Schuchstr.";"Lohrmannstr.";"H";"sonstige Hauptverkehrsstraße";"Reicker Straße";0;"AKT";"S";88.49;2024-02-06;"SRID=4326;LINESTRING(13.78611662150720462705 51.01637753120120066797,13.78634984759809434252 51.01624130615009278245,13.78663064331749765756 51.01605568838474624727,13.78676999911856881909 51.01594353190849773227,13.78694534052983300398 51.01578156584672996132)"
8100;"10028130";"15468";"15469";"Scheidemantelstr.";"Schuchstr.";"H";"sonstige Hauptverkehrsstraße";"Reicker Straße";0;"AKT";"S";82.13;2024-02-06;"SRID=4326;LINESTRING(13.78524027966569853731 51.01686716000144627969,13.78563322750563102659 51.0166532175274767269,13.78611662150720462705 51.01637753120120066797)"
